Config: 
--------------------------------------------
leader L16 of team T8 discovered at 29377.000000 that M152 is in danger (after 889ms proces-to-process, 229ms node-to-node, 1hops, 0versions (13 first, 13 discovered)
leader L20 of team T10 discovered at 37124.000000 that M181 is in danger (after 11787ms proces-to-process, 9961ms node-to-node, 3hops, 2versions (13 first, 15 discovered)
leader L20 of team T10 discovered at 28829.000000 that M186 is in danger (after 5016ms proces-to-process, 2996ms node-to-node, 1hops, 0versions (11 first, 11 discovered)
leader L20 of team T10 discovered at 25833.000000 that M187 is in danger (after 10142ms proces-to-process, 7056ms node-to-node, 1hops, 0versions (7 first, 7 discovered)
leader L20 of team T10 discovered at 33894.000000 that M185 is in danger (after 12509ms proces-to-process, 10290ms node-to-node, 4hops, 1versions (10 first, 11 discovered)
leader L23 of team T11 discovered at 42791.000000 that M214 is in danger (after 13967ms proces-to-process, 13014ms node-to-node, 8hops, 1versions (13 first, 14 discovered)
leader L23 of team T11 discovered at 57273.000000 that M215 is in danger (after 29629ms proces-to-process, 27529ms node-to-node, 9hops, 9versions (13 first, 22 discovered)
leader L23 of team T11 discovered at 32802.000000 that M218 is in danger (after 7875ms proces-to-process, 6397ms node-to-node, 6hops, 1versions (11 first, 12 discovered)
leader L23 of team T11 discovered at 27305.000000 that M212 is in danger (after 7844ms proces-to-process, 7173ms node-to-node, 8hops, 0versions (9 first, 9 discovered)
leader L23 of team T11 discovered at 40232.000000 that M199 is in danger (after 14353ms proces-to-process, 11631ms node-to-node, 7hops, 1versions (12 first, 13 discovered)
leader L23 of team T11 discovered at 30289.000000 that M213 is in danger (after 4176ms proces-to-process, 3700ms node-to-node, 4hops, 0versions (12 first, 12 discovered)
leader L23 of team T11 discovered at 39422.000000 that M209 is in danger (after 11025ms proces-to-process, 9785ms node-to-node, 9hops, 0versions (14 first, 14 discovered)
leader L23 of team T11 discovered at 33416.000000 that M208 is in danger (after 17998ms proces-to-process, 15036ms node-to-node, 3hops, 3versions (8 first, 11 discovered)
leader L23 of team T11 discovered at 44231.000000 that M220 is in danger (after 22473ms proces-to-process, 19910ms node-to-node, 9hops, 5versions (10 first, 15 discovered)
leader L23 of team T11 discovered at 38171.000000 that M210 is in danger (after 10318ms proces-to-process, 9719ms node-to-node, 6hops, 0versions (13 first, 13 discovered)
leader L23 of team T11 discovered at 21314.000000 that M211 is in danger (after 4553ms proces-to-process, 4234ms node-to-node, 5hops, 0versions (8 first, 8 discovered)
leader L23 of team T11 discovered at 30903.000000 that M219 is in danger (after 8073ms proces-to-process, 7367ms node-to-node, 7hops, 0versions (11 first, 11 discovered)
leader L23 of team T11 discovered at 42791.000000 that M216 is in danger (after 12899ms proces-to-process, 11128ms node-to-node, 7hops, 3versions (15 first, 18 discovered)
leader L23 of team T11 discovered at 35194.000000 that M217 is in danger (after 13321ms proces-to-process, 12407ms node-to-node, 8hops, 3versions (10 first, 13 discovered)
leader L23 of team T11 discovered at 23964.000000 that M203 is in danger (after 6317ms proces-to-process, 5208ms node-to-node, 1hops, 1versions (7 first, 8 discovered)
leader L23 of team T11 discovered at 32802.000000 that M202 is in danger (after 7494ms proces-to-process, 5622ms node-to-node, 1hops, 2versions (12 first, 14 discovered)
leader L23 of team T11 discovered at 22231.000000 that M205 is in danger (after 4034ms proces-to-process, 3519ms node-to-node, 4hops, 0versions (8 first, 8 discovered)
leader L23 of team T11 discovered at 26312.000000 that M204 is in danger (after 6460ms proces-to-process, 6320ms node-to-node, 3hops, 0versions (8 first, 8 discovered)
leader L23 of team T11 discovered at 37592.000000 that M207 is in danger (after 9921ms proces-to-process, 7015ms node-to-node, 5hops, 1versions (14 first, 15 discovered)
leader L23 of team T11 discovered at 26217.000000 that M206 is in danger (after 5321ms proces-to-process, 4405ms node-to-node, 2hops, 1versions (9 first, 10 discovered)
leader L22 of team T11 discovered at 48862.000000 that M214 is in danger (after 20038ms proces-to-process, 19218ms node-to-node, 10hops, 1versions (13 first, 14 discovered)
leader L22 of team T11 discovered at 52220.000000 that M215 is in danger (after 24576ms proces-to-process, 22374ms node-to-node, 4hops, 3versions (13 first, 16 discovered)
leader L22 of team T11 discovered at 38568.000000 that M218 is in danger (after 13641ms proces-to-process, 12488ms node-to-node, 8hops, 2versions (11 first, 13 discovered)
leader L22 of team T11 discovered at 40793.000000 that M212 is in danger (after 21332ms proces-to-process, 20843ms node-to-node, 8hops, 6versions (9 first, 15 discovered)
leader L22 of team T11 discovered at 47375.000000 that M199 is in danger (after 21496ms proces-to-process, 19472ms node-to-node, 3hops, 7versions (12 first, 19 discovered)
leader L22 of team T11 discovered at 35759.000000 that M213 is in danger (after 9646ms proces-to-process, 9297ms node-to-node, 6hops, 0versions (12 first, 12 discovered)
leader L22 of team T11 discovered at 43056.000000 that M209 is in danger (after 14659ms proces-to-process, 13751ms node-to-node, 11hops, 0versions (14 first, 14 discovered)
leader L22 of team T11 discovered at 28262.000000 that M208 is in danger (after 12844ms proces-to-process, 10095ms node-to-node, 1hops, 1versions (8 first, 9 discovered)
leader L22 of team T11 never discovered that M220 is in danger from 21758.
leader L22 of team T11 discovered at 44139.000000 that M210 is in danger (after 16286ms proces-to-process, 15642ms node-to-node, 7hops, 0versions (13 first, 13 discovered)
leader L22 of team T11 discovered at 26857.000000 that M211 is in danger (after 10096ms proces-to-process, 9757ms node-to-node, 7hops, 0versions (8 first, 8 discovered)
leader L22 of team T11 discovered at 53078.000000 that M219 is in danger (after 30248ms proces-to-process, 29499ms node-to-node, 3hops, 8versions (11 first, 19 discovered)
leader L22 of team T11 discovered at 45367.000000 that M216 is in danger (after 15475ms proces-to-process, 14021ms node-to-node, 8hops, 1versions (15 first, 16 discovered)
leader L22 of team T11 discovered at 40085.000000 that M217 is in danger (after 18212ms proces-to-process, 17043ms node-to-node, 10hops, 3versions (10 first, 13 discovered)
leader L22 of team T11 discovered at 23873.000000 that M203 is in danger (after 6226ms proces-to-process, 5453ms node-to-node, 2hops, 1versions (7 first, 8 discovered)
leader L22 of team T11 discovered at 44775.000000 that M202 is in danger (after 19467ms proces-to-process, 17481ms node-to-node, 7hops, 3versions (12 first, 15 discovered)
leader L22 of team T11 discovered at 28262.000000 that M205 is in danger (after 10065ms proces-to-process, 9927ms node-to-node, 8hops, 1versions (8 first, 9 discovered)
leader L22 of team T11 discovered at 23873.000000 that M204 is in danger (after 4021ms proces-to-process, 3352ms node-to-node, 1hops, 0versions (8 first, 8 discovered)
leader L22 of team T11 discovered at 39351.000000 that M207 is in danger (after 11680ms proces-to-process, 8106ms node-to-node, 2hops, 1versions (14 first, 15 discovered)
leader L22 of team T11 discovered at 41339.000000 that M206 is in danger (after 20443ms proces-to-process, 19483ms node-to-node, 3hops, 2versions (9 first, 11 discovered)

Results: 
-----------------------------
Process-2-process response time: avg=14499.530769, min=640, max=39570, median=13584
Node-2-node response time: avg=12923.364103, min=7, max=38895, median=11833
Hops: avg=5.287179, min=1, max=13, median=5
Process-2-process response time / 1 hop: avg=3276.315385, min=610, max=12844, median=2686
Node-2-node response time / 1 hop: avg=2774.802564, min=7, max=12272, median=2316
Version difference: avg=2.061538, min=0, max=11, median=1
Ratio of leader discoveries: 390 of 440 (88.636364%)
Ratio of discoveries regardless the number of leaders: 211 of 220 (95.909091%)
